direction:O,dep_time,weekday,yearweek,whichholiday_left_LUX:Vacances de Noeel,whichholiday_left_LUX:Vacances de Pentecete,whichholiday_left_LUX:Vacances de Peques,whichholiday_left_LUX:Vacances dete,whichholiday_left_LUX:vacances de Carnaval,whichholiday_right_LUX:Vacances de Noeel,whichholiday_right_LUX:Vacances de Pentecete,whichholiday_right_LUX:Vacances de Peques,whichholiday_right_LUX:Vacances dete,whichholiday_right_LUX:vacances de Carnaval,holiday_from_left_LUX,holiday_from_right_LUX,holiday_to_left_LUX,holiday_to_right_LUX,whichjf_left_LUX:Assomption,whichjf_left_LUX:Journee de lEurope,whichjf_left_LUX:La Toussaint,whichjf_left_LUX:Les Trepasses,whichjf_left_LUX:Lundi de Pentecete,whichjf_left_LUX:Lundi de Peques,whichjf_left_LUX:Luxembourg,whichjf_left_LUX:Noeel,whichjf_left_LUX:Nouvel an,whichjf_left_LUX:Pentecete,whichjf_left_LUX:Peques,whichjf_left_LUX:Saint Etienne,whichjf_left_LUX:Travail,whichjf_right_LUX:Assomption,whichjf_right_LUX:Journee de lEurope,whichjf_right_LUX:La Toussaint,whichjf_right_LUX:Les Trepasses,whichjf_right_LUX:Lundi de Pentecete,whichjf_right_LUX:Lundi de Peques,whichjf_right_LUX:Luxembourg,whichjf_right_LUX:Noeel,whichjf_right_LUX:Nouvel an,whichjf_right_LUX:Pentecete,whichjf_right_LUX:Peques,whichjf_right_LUX:Saint Etienne,whichjf_right_LUX:Travail,jf_left_LUX,jf_left_LUX,capacity_current
0,21.166666666666668,4,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,37.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.0,71
1,6.75,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,71
1,14.25,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,71
1,19.166666666666668,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,138
0,8.75,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,71
0,16.0,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,71
0,21.166666666666668,5,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,138
1,10.75,6,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,5.0,35.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,5.0,73
0,12.5,6,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,5.0,35.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,5.0,75
1,12.25,7,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,6.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,6.0,71
1,19.666666666666668,7,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,6.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,6.0,71
0,14.083333333333336,7,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,6.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,6.0,73
0,21.416666666666668,7,1.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,6.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0,6.0,73
1,6.75,1,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,7.0,71
1,14.25,1,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,7.0,71
1,19.166666666666668,1,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,7.0,71
0,8.75,1,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,7.0,71
0,16.0,1,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,7.0,71
0,21.166666666666668,1,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,7.0,71
1,6.75,2,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,8.0,71
1,14.25,2,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,8.0,71
1,19.166666666666668,2,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,8.0,71
0,8.75,2,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,8.0,71
0,16.0,2,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,8.0,71
0,21.166666666666668,2,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,8.0,71
1,6.75,3,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,9.0,71
1,14.25,3,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,9.0,71
1,19.166666666666668,3,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,9.0,71
0,8.75,3,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,9.0,71
0,16.0,3,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,9.0,71
0,21.166666666666668,3,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,9.0,71
1,6.75,4,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,71
1,14.25,4,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,71
1,19.166666666666668,4,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,138
0,8.75,4,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,71
0,16.0,4,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,71
0,21.166666666666668,4,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,10.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,10.0,138
1,6.75,5,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,11.0,73
1,14.25,5,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,11.0,180
1,19.166666666666668,5,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,11.0,138
0,8.75,5,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,11.0,71
0,16.0,5,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,11.0,180
0,21.166666666666668,5,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,11.0,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.0,11.0,138
1,10.75,6,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,12.0,28.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0,12.0,73
0,12.5,6,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,12.0,28.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.0,12.0,71
1,12.25,7,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,13.0,27.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,13.0,71
1,19.666666666666668,7,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,13.0,27.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,13.0,71
0,14.083333333333336,7,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,13.0,27.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,13.0,73
0,21.416666666666668,7,2.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,13.0,27.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0,13.0,71
1,6.75,1,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,14.0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,14.0,71
1,14.25,1,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,14.0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,14.0,71
1,19.166666666666668,1,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,14.0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,14.0,71
0,8.75,1,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,14.0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,14.0,71
0,16.0,1,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,14.0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,14.0,71
0,21.166666666666668,1,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,14.0,26.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,14.0,71
1,6.75,2,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,15.0,71
1,14.25,2,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,15.0,71
1,19.166666666666668,2,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,15.0,71
0,8.75,2,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,15.0,71
0,16.0,2,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,15.0,71
0,21.166666666666668,2,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,15.0,71
1,6.75,3,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,16.0,71
1,14.25,3,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,16.0,71
1,19.166666666666668,3,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,16.0,73
0,8.75,3,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,16.0,71
0,16.0,3,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,16.0,71
0,21.166666666666668,3,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.0,16.0,71
1,6.75,4,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,17.0,71
1,14.25,4,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,17.0,71
1,19.166666666666668,4,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,17.0,138
0,8.75,4,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,17.0,71
0,16.0,4,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,17.0,71
0,21.166666666666668,4,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0,17.0,138
1,6.75,5,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,18.0,73
1,14.25,5,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,18.0,73
1,19.166666666666668,5,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,18.0,138
0,8.75,5,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,18.0,71
0,16.0,5,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,18.0,71
0,21.166666666666668,5,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.0,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.0,18.0,138
1,10.75,6,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,19.0,21.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0,19.0,73
0,12.5,6,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,19.0,21.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0,19.0,71
1,12.25,7,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,20.0,71
1,19.666666666666668,7,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,20.0,71
0,14.083333333333336,7,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,20.0,71
0,21.416666666666668,7,3.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,20.0,73
1,6.75,1,4.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,21.0,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,21.0,71
1,14.25,1,4.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,21.0,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,21.0,71
1,19.166666666666668,1,4.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,21.0,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,21.0,71
0,8.75,1,4.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,21.0,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,21.0,73
0,16.0,1,4.0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,21.0,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.0,21.0,71
