Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
18/01/2018;16/08/2018;LG-9415;TXL;SCN;3 PAX;76,00 EUR;139,0;0 PAX;67 PAX
18/01/2018;16/08/2018;LG-9416;SCN;TXL;2 PAX;82,00 EUR;112,0;0 PAX;67 PAX
18/01/2018;17/08/2018;LG-9411;TXL;SCN;6 PAX;246,00 EUR;342,0;0 PAX;67 PAX
18/01/2018;17/08/2018;LG-9412;SCN;TXL;1 PAX;10,00 EUR;52,0;0 PAX;67 PAX
18/01/2018;17/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;17/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;17/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;17/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;18/08/2018;LG-9411;TXL;SCN;2 PAX;82,00 EUR;114,0;0 PAX;67 PAX
18/01/2018;18/08/2018;LG-9412;SCN;TXL;1 PAX;64,00 EUR;87,0;0 PAX;67 PAX
18/01/2018;19/08/2018;LG-9413;TXL;SCN;1 PAX;41,00 EUR;57,0;0 PAX;67 PAX
18/01/2018;19/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;19/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;19/08/2018;LG-9416;SCN;TXL;1 PAX;64,00 EUR;87,0;0 PAX;67 PAX
18/01/2018;20/08/2018;LG-9411;TXL;SCN;3 PAX;123,00 EUR;171,0;0 PAX;67 PAX
18/01/2018;20/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;20/08/2018;LG-9413;TXL;SCN;2 PAX;20,00 EUR;102,0;0 PAX;67 PAX
18/01/2018;20/08/2018;LG-9414;SCN;TXL;6 PAX;175,00 EUR;287,0;0 PAX;67 PAX
18/01/2018;20/08/2018;LG-9415;TXL;SCN;2 PAX;82,00 EUR;114,0;0 PAX;67 PAX
18/01/2018;20/08/2018;LG-9416;SCN;TXL;8 PAX;242,00 EUR;413,0;0 PAX;67 PAX
