dprio,nn,bench
0,,
1,,
2,,
3,16.336164999999994,27.722222222222257
4,15.153130000000004,20.252777777777787
5,15.185374999999993,20.3361111111111
6,17.438128333333335,19.035185185185185
7,17.64795375,16.78333333333333
8,17.396466249999996,16.075000000000003
9,17.338409999999996,16.211111111111116
10,16.576085999999997,16.527777777777775
11,17.0608075,15.378703703703712
12,16.859972499999998,15.472222222222227
13,17.85948142857143,14.718253968253967
14,19.482341875000003,18.854861111111106
15,19.330653124999998,18.772916666666667
16,19.64402875,18.96180555555555
17,18.55848611111111,18.677777777777784
18,17.9107035,17.182222222222226
19,17.75448,17.380000000000003
20,18.276910909090915,16.07828282828283
21,18.24615308333333,15.971296296296297
22,18.494110208333336,16.081018518518515
23,18.424061666666667,16.014814814814812
24,18.987362884615383,17.7525641025641
25,19.541274999999995,19.14166666666667
26,19.552428535714284,18.952380952380953
27,21.201775466666668,20.374444444444446
28,22.83448975,22.085584677419355
29,22.79513971875,21.93293010752688
30,22.45045375,21.694522849462366
31,24.33655426470588,23.950379506641365
32,23.808632352941174,24.02328694918828
33,23.771990588235298,24.260710520767446
34,23.410155722222225,25.654920419121385
35,24.644459842105263,27.287600257596164
36,24.94128455263158,27.324845019482336
37,25.120077631578948,27.369825797344674
38,24.411001900000002,30.462076381164252
39,24.582364999999996,30.8696190211346
40,24.4156101,30.943701952787045
41,25.116281190476197,31.68004219856278
42,25.98044559090909,32.38953522994123
43,25.80706468181818,32.51785934989494
44,25.670496022727274,32.582174076695765
45,27.035365652173912,32.50593547312366
46,27.19558567391304,32.73120563374227
47,26.8487712826087,32.50779368380326
48,27.340420645833333,33.62920205283943
49,28.439740300000004,34.857805671664934
50,28.3537178,34.78646321754637
51,27.60687152,35.39410837960436
52,28.14142730769231,35.03948113973262
53,28.323083192307692,35.36968840494087
54,28.329904442307686,35.54283280609488
55,28.80026081481482,36.02307962932682
56,28.889885678571424,36.07395098533682
57,29.326494767857145,36.244331335264995
58,28.808847714285715,36.646532154703856
59,29.652217310344824,36.92581808941919
60,29.499685431034486,37.1691939776179
61,29.717051793103447,37.43983508139992
62,30.58773785,37.782137218896956
63,30.473201403225808,37.41581048408455
64,30.328840532258063,37.38129679152298
65,30.43027040322581,37.19200422780533
66,30.7874415,36.66762584769444
67,30.702780125000004,36.72887626367307
68,31.144406453125,37.028044757623114
69,30.713509651515153,36.85590902286603
70,32.97123657352942,36.60196202567371
71,32.82641057352941,36.83201067239941
72,32.96616735294118,36.75672632893818
73,33.565357357142865,36.81836590197331
74,33.415668342857145,37.11250987782387
75,34.34189192857143,37.112674953284824
76,34.91013922222222,37.248734905034254
77,35.075671625000005,37.149033511278155
78,34.850144,37.097230858670336
79,35.20084451388888,36.999824999388
80,35.531888555555554,36.97361571923545
81,35.69816341666667,37.084442301165524
82,35.70935204166667,36.72815308231701
