Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total
03/01/2018;16/04/2018;LG-9416;SCN;TXL;5 PAX
03/01/2018;17/04/2018;LG-9411;TXL;SCN;1 PAX
03/01/2018;17/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;17/04/2018;LG-9413;TXL;SCN;0 PAX
03/01/2018;17/04/2018;LG-9414;SCN;TXL;1 PAX
03/01/2018;17/04/2018;LG-9415;TXL;SCN;4 PAX
03/01/2018;17/04/2018;LG-9416;SCN;TXL;4 PAX
03/01/2018;18/04/2018;LG-9411;TXL;SCN;3 PAX
03/01/2018;18/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;18/04/2018;LG-9413;TXL;SCN;2 PAX
03/01/2018;18/04/2018;LG-9414;SCN;TXL;3 PAX
03/01/2018;18/04/2018;LG-9415;TXL;SCN;1 PAX
03/01/2018;18/04/2018;LG-9416;SCN;TXL;2 PAX
03/01/2018;19/04/2018;LG-9411;TXL;SCN;8 PAX
03/01/2018;19/04/2018;LG-9412;SCN;TXL;0 PAX
03/01/2018;19/04/2018;LG-9413;TXL;SCN;1 PAX
03/01/2018;19/04/2018;LG-9414;SCN;TXL;0 PAX
03/01/2018;19/04/2018;LG-9415;TXL;SCN;2 PAX
03/01/2018;19/04/2018;LG-9416;SCN;TXL;5 PAX
03/01/2018;20/04/2018;LG-9411;TXL;SCN;4 PAX
03/01/2018;20/04/2018;LG-9412;SCN;TXL;5 PAX
03/01/2018;20/04/2018;LG-9413;TXL;SCN;2 PAX
03/01/2018;20/04/2018;LG-9414;SCN;TXL;2 PAX
03/01/2018;20/04/2018;LG-9415;TXL;SCN;1 PAX
03/01/2018;20/04/2018;LG-9416;SCN;TXL;6 PAX
03/01/2018;21/04/2018;LG-9411;TXL;SCN;0 PAX
03/01/2018;21/04/2018;LG-9412;SCN;TXL;1 PAX
03/01/2018;22/04/2018;LG-9413;TXL;SCN;3 PAX
03/01/2018;22/04/2018;LG-9414;SCN;TXL;0 PAX
