Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
09/08/2018;26/09/2018;LG-9416;SCN;TXL;28 PAX;1 626,00 EUR;1 897,0;0 PAX;67 PAX
09/08/2018;27/09/2018;LG-9411;TXL;SCN;34 PAX;2 729,00 EUR;3 173,0;0 PAX;67 PAX
09/08/2018;27/09/2018;LG-9412;SCN;TXL;15 PAX;594,00 EUR;707,0;0 PAX;67 PAX
09/08/2018;27/09/2018;LG-9413;TXL;SCN;9 PAX;821,00 EUR;966,0;0 PAX;67 PAX
09/08/2018;27/09/2018;LG-9414;SCN;TXL;24 PAX;2 710,00 EUR;3 161,0;0 PAX;67 PAX
09/08/2018;27/09/2018;LG-9415;TXL;SCN;31 PAX;1 586,00 EUR;1 867,0;0 PAX;67 PAX
09/08/2018;27/09/2018;LG-9416;SCN;TXL;24 PAX;2 773,00 EUR;3 244,0;0 PAX;67 PAX
09/08/2018;28/09/2018;LG-9411;TXL;SCN;18 PAX;1 265,00 EUR;1 476,0;0 PAX;67 PAX
09/08/2018;28/09/2018;LG-9412;SCN;TXL;15 PAX;611,00 EUR;720,0;0 PAX;67 PAX
09/08/2018;28/09/2018;LG-9413;TXL;SCN;9 PAX;854,00 EUR;1 007,0;0 PAX;67 PAX
09/08/2018;28/09/2018;LG-9414;SCN;TXL;30 PAX;3 293,00 EUR;3 880,0;0 PAX;67 PAX
09/08/2018;28/09/2018;LG-9415;TXL;SCN;24 PAX;1 238,00 EUR;1 622,0;0 PAX;67 PAX
09/08/2018;28/09/2018;LG-9416;SCN;TXL;40 PAX;5 023,00 EUR;5 954,0;0 PAX;67 PAX
09/08/2018;29/09/2018;LG-9411;TXL;SCN;27 PAX;1 824,00 EUR;2 224,0;0 PAX;67 PAX
09/08/2018;29/09/2018;LG-9412;SCN;TXL;27 PAX;1 589,00 EUR;1 858,0;0 PAX;67 PAX
09/08/2018;30/09/2018;LG-9413;TXL;SCN;25 PAX;1 366,00 EUR;1 583,0;0 PAX;67 PAX
09/08/2018;30/09/2018;LG-9414;SCN;TXL;13 PAX;1 049,00 EUR;1 242,0;0 PAX;67 PAX
09/08/2018;30/09/2018;LG-9415;TXL;SCN;35 PAX;2 249,00 EUR;2 649,0;0 PAX;67 PAX
09/08/2018;30/09/2018;LG-9416;SCN;TXL;22 PAX;1 919,00 EUR;2 287,0;0 PAX;67 PAX
10/08/2018;01/09/2018;LG-9411;TXL;SCN;33 PAX;1 833,00 EUR;2 155,0;10 PAX;67 PAX
10/08/2018;01/09/2018;LG-9412;SCN;TXL;24 PAX;1 290,00 EUR;1 516,0;0 PAX;67 PAX
10/08/2018;02/09/2018;LG-9413;TXL;SCN;30 PAX;1 869,00 EUR;2 205,0;0 PAX;67 PAX
10/08/2018;02/09/2018;LG-9414;SCN;TXL;46 PAX;4 365,00 EUR;5 134,0;0 PAX;67 PAX
10/08/2018;02/09/2018;LG-9415;TXL;SCN;26 PAX;1 371,00 EUR;1 605,0;0 PAX;67 PAX
10/08/2018;02/09/2018;LG-9416;SCN;TXL;58 PAX;8 077,00 EUR;9 432,0;0 PAX;67 PAX
10/08/2018;03/09/2018;LG-9411;TXL;SCN;32 PAX;4 519,00 EUR;5 263,0;0 PAX;67 PAX
10/08/2018;03/09/2018;LG-9412;SCN;TXL;30 PAX;2 078,00 EUR;2 427,0;0 PAX;67 PAX
10/08/2018;03/09/2018;LG-9413;TXL;SCN;24 PAX;1 288,00 EUR;1 489,0;0 PAX;67 PAX
10/08/2018;03/09/2018;LG-9414;SCN;TXL;17 PAX;1 409,00 EUR;1 649,0;0 PAX;67 PAX
10/08/2018;03/09/2018;LG-9415;TXL;SCN;28 PAX;1 451,00 EUR;1 714,0;0 PAX;67 PAX
10/08/2018;03/09/2018;LG-9416;SCN;TXL;32 PAX;2 123,00 EUR;2 535,0;0 PAX;67 PAX
10/08/2018;04/09/2018;LG-9411;TXL;SCN;38 PAX;4 447,00 EUR;5 150,0;0 PAX;67 PAX
10/08/2018;04/09/2018;LG-9412;SCN;TXL;21 PAX;1 081,00 EUR;1 267,0;0 PAX;67 PAX
10/08/2018;04/09/2018;LG-9413;TXL;SCN;18 PAX;1 006,00 EUR;1 164,0;0 PAX;67 PAX
10/08/2018;04/09/2018;LG-9414;SCN;TXL;27 PAX;2 312,00 EUR;2 696,0;0 PAX;67 PAX
10/08/2018;04/09/2018;LG-9415;TXL;SCN;25 PAX;1 163,00 EUR;1 343,0;0 PAX;67 PAX
10/08/2018;04/09/2018;LG-9416;SCN;TXL;26 PAX;1 399,00 EUR;1 656,0;0 PAX;67 PAX
10/08/2018;05/09/2018;LG-9411;TXL;SCN;32 PAX;2 585,00 EUR;3 007,0;0 PAX;67 PAX
10/08/2018;05/09/2018;LG-9412;SCN;TXL;14 PAX;564,00 EUR;666,0;0 PAX;67 PAX
10/08/2018;05/09/2018;LG-9413;TXL;SCN;15 PAX;655,00 EUR;755,0;0 PAX;67 PAX
10/08/2018;05/09/2018;LG-9414;SCN;TXL;16 PAX;1 341,00 EUR;1 567,0;0 PAX;67 PAX
10/08/2018;05/09/2018;LG-9415;TXL;SCN;29 PAX;1 624,00 EUR;1 884,0;0 PAX;67 PAX
10/08/2018;05/09/2018;LG-9416;SCN;TXL;26 PAX;1 503,00 EUR;1 752,0;0 PAX;67 PAX
10/08/2018;06/09/2018;LG-9411;TXL;SCN;37 PAX;3 904,00 EUR;4 694,0;0 PAX;67 PAX
10/08/2018;06/09/2018;LG-9412;SCN;TXL;11 PAX;427,00 EUR;504,0;0 PAX;67 PAX
10/08/2018;06/09/2018;LG-9413;TXL;SCN;15 PAX;1 336,00 EUR;1 569,0;0 PAX;67 PAX
10/08/2018;06/09/2018;LG-9414;SCN;TXL;20 PAX;2 490,00 EUR;2 905,0;0 PAX;67 PAX
10/08/2018;06/09/2018;LG-9415;TXL;SCN;29 PAX;1 411,00 EUR;1 664,0;0 PAX;67 PAX
10/08/2018;06/09/2018;LG-9416;SCN;TXL;20 PAX;2 020,00 EUR;2 369,0;0 PAX;67 PAX
10/08/2018;07/09/2018;LG-9411;TXL;SCN;25 PAX;1 868,00 EUR;2 204,0;0 PAX;67 PAX
10/08/2018;07/09/2018;LG-9412;SCN;TXL;23 PAX;1 046,00 EUR;1 253,0;0 PAX;67 PAX
10/08/2018;07/09/2018;LG-9413;TXL;SCN;18 PAX;1 446,00 EUR;1 720,0;0 PAX;67 PAX
