FltNum,DepDate,DepTime
9411,16/10/2018,06:45:00
9411,17/10/2018,06:45:00
9411,18/10/2018,06:45:00
9411,19/10/2018,06:45:00
9411,20/10/2018,06:45:00
9411,22/10/2018,06:45:00
9411,24/10/2018,06:45:00
9411,25/10/2018,06:45:00
9411,26/10/2018,06:45:00
9411,27/10/2018,06:45:00
9411,29/10/2018,07:45:00
9411,30/10/2018,07:45:00
9411,31/10/2018,07:45:00
9411,1/11/2018,07:45:00
9411,2/11/2018,07:45:00
9411,3/11/2018,07:45:00
9411,5/11/2018,07:45:00
9411,6/11/2018,07:45:00
9411,7/11/2018,07:45:00
9411,8/11/2018,07:45:00
9411,9/11/2018,07:45:00
9411,10/11/2018,07:45:00
9411,12/11/2018,07:45:00
9411,13/11/2018,07:45:00
9411,17/11/2018,07:45:00
9411,19/11/2018,07:45:00
9411,20/11/2018,07:45:00
9411,22/11/2018,07:45:00
9411,23/11/2018,07:45:00
9411,24/11/2018,07:45:00
9411,26/11/2018,07:45:00
9411,27/11/2018,07:45:00
9411,28/11/2018,07:45:00
9411,29/11/2018,07:45:00
9411,1/12/2018,07:45:00
9411,3/12/2018,07:45:00
9411,4/12/2018,07:45:00
9411,5/12/2018,07:45:00
9411,6/12/2018,07:45:00
9411,7/12/2018,07:45:00
9411,8/12/2018,07:45:00
9411,10/12/2018,07:45:00
9411,11/12/2018,07:45:00
9411,12/12/2018,07:45:00
9411,13/12/2018,07:45:00
9411,14/12/2018,07:45:00
9411,15/12/2018,07:45:00
9411,17/12/2018,07:45:00
9411,18/12/2018,07:45:00
9411,19/12/2018,07:45:00
9411,20/12/2018,07:45:00
9411,21/12/2018,07:45:00
9411,22/12/2018,07:45:00
9411,24/12/2018,07:45:00
9411,29/12/2018,07:45:00
9411,31/12/2018,07:45:00
9411,5/1/2019,07:45:00
9411,7/1/2019,07:45:00
9411,8/1/2019,07:45:00
9411,9/1/2019,07:45:00
9411,10/1/2019,07:45:00
9411,11/1/2019,07:45:00
9411,12/1/2019,07:45:00
9411,14/1/2019,07:45:00
9411,15/1/2019,07:45:00
9411,16/1/2019,07:45:00
9411,17/1/2019,07:45:00
9411,18/1/2019,07:45:00
9411,19/1/2019,07:45:00
9411,21/1/2019,07:45:00
9411,22/1/2019,07:45:00
9411,23/1/2019,07:45:00
9411,24/1/2019,07:45:00
9411,25/1/2019,07:45:00
9411,26/1/2019,07:45:00
9411,28/1/2019,07:45:00
9411,29/1/2019,07:45:00
9411,30/1/2019,07:45:00
9411,31/1/2019,07:45:00
9411,2/1/2018,07:45:00
9411,3/1/2018,07:45:00
9411,4/1/2018,07:45:00
9411,5/1/2018,07:45:00
9411,6/1/2018,07:45:00
9411,8/1/2018,07:45:00
9411,9/1/2018,07:45:00
9411,10/1/2018,07:45:00
9411,11/1/2018,07:45:00
9411,12/1/2018,07:45:00
9411,13/1/2018,07:45:00
9411,15/1/2018,07:45:00
9411,16/1/2018,07:45:00
9411,17/1/2018,07:45:00
9411,18/1/2018,07:45:00
9411,19/1/2018,07:45:00
9411,20/1/2018,07:45:00
9411,22/1/2018,07:45:00
9411,23/1/2018,07:45:00
9411,24/1/2018,07:45:00
9411,25/1/2018,07:45:00
9411,26/1/2018,07:45:00
9411,27/1/2018,07:45:00
9411,29/1/2018,07:45:00
9411,30/1/2018,07:45:00
9411,31/1/2018,07:45:00
9411,1/2/2018,07:45:00
9411,2/2/2018,07:45:00
9411,3/2/2018,07:45:00
9411,5/2/2018,07:45:00
9411,6/2/2018,07:45:00
9411,7/2/2018,07:45:00
9411,8/2/2018,07:45:00
9411,9/2/2018,07:45:00
9411,10/2/2018,07:45:00
9411,12/2/2018,07:45:00
9411,13/2/2018,07:45:00
9411,14/2/2018,07:45:00
9411,15/2/2018,07:45:00
9411,16/2/2018,07:45:00
9411,17/2/2018,07:45:00
9411,19/2/2018,07:45:00
9411,20/2/2018,07:45:00
9411,21/2/2018,07:45:00
9411,22/2/2018,07:45:00
9411,23/2/2018,07:45:00
9411,24/2/2018,07:45:00
9411,26/2/2018,07:45:00
9411,27/2/2018,07:45:00
9411,1/3/2018,07:45:00
9411,2/3/2018,07:45:00
9411,3/3/2018,07:45:00
9411,5/3/2018,07:45:00
9411,6/3/2018,07:45:00
9411,7/3/2018,07:45:00
9411,8/3/2018,07:45:00
9411,9/3/2018,07:45:00
9411,10/3/2018,07:45:00
9411,12/3/2018,07:45:00
9411,13/3/2018,07:45:00
9411,14/3/2018,07:45:00
9411,15/3/2018,07:45:00
9411,16/3/2018,07:45:00
9411,17/3/2018,07:45:00
9411,19/3/2018,07:45:00
9411,20/3/2018,07:45:00
9411,21/3/2018,07:45:00
9411,22/3/2018,07:45:00
9411,23/3/2018,07:45:00
9411,24/3/2018,07:45:00
9412,26/3/2018,08:50:00
9412,27/3/2018,08:50:00
9412,28/3/2018,08:50:00
9412,29/3/2018,08:50:00
9412,30/3/2018,08:50:00
9412,31/3/2018,08:50:00
9412,2/4/2018,08:50:00
9412,3/4/2018,08:50:00
9412,4/4/2018,08:50:00
9412,5/4/2018,08:50:00
9412,6/4/2018,08:50:00
9412,7/4/2018,08:50:00
9412,9/4/2018,08:50:00
9412,10/4/2018,08:50:00
9412,11/4/2018,08:50:00
9412,12/4/2018,08:50:00
9412,13/4/2018,08:50:00
9412,14/4/2018,08:50:00
9412,16/4/2018,08:50:00
9412,17/4/2018,08:50:00
9412,18/4/2018,08:50:00
9412,19/4/2018,08:50:00
9412,20/4/2018,08:50:00
9412,21/4/2018,08:50:00
9412,23/4/2018,08:50:00
9412,24/4/2018,08:50:00
9412,25/4/2018,08:50:00
9412,26/4/2018,08:50:00
9412,27/4/2018,08:50:00
9412,28/4/2018,08:50:00
9412,30/4/2018,08:50:00
9412,1/5/2018,08:50:00
9412,2/5/2018,08:50:00
9412,3/5/2018,08:50:00
9412,4/5/2018,08:50:00
9412,5/5/2018,08:50:00
9412,7/5/2018,08:50:00
9412,8/5/2018,08:50:00
9412,9/5/2018,08:50:00
9412,10/5/2018,08:50:00
9412,11/5/2018,08:50:00
9412,14/5/2018,08:50:00
9412,15/5/2018,08:50:00
9412,16/5/2018,08:50:00
9412,17/5/2018,08:50:00
9412,18/5/2018,08:50:00
9412,19/5/2018,08:50:00
9412,21/5/2018,08:50:00
9412,22/5/2018,08:50:00
9412,23/5/2018,08:50:00
9412,24/5/2018,08:50:00
9412,25/5/2018,08:50:00
9412,26/5/2018,08:50:00
9412,28/5/2018,08:50:00
9412,29/5/2018,08:50:00
9412,30/5/2018,08:50:00
9412,31/5/2018,08:50:00
9412,1/6/2018,08:50:00
9412,2/6/2018,08:50:00
9412,4/6/2018,08:50:00
9412,5/6/2018,08:50:00
9412,6/6/2018,08:50:00
9412,7/6/2018,08:50:00
9412,8/6/2018,08:50:00
9412,9/6/2018,08:50:00
9412,11/6/2018,08:50:00
9412,12/6/2018,08:50:00
9412,13/6/2018,08:50:00
9412,14/6/2018,08:50:00
