nn,bench
,
,
13.101184500000002,28.5
13.179507500000007,28.5
13.446384999999992,28.666666666666657
12.595897999999998,28.5
15.964179999999995,32.16666666666667
15.924982500000002,31.0
16.162095,30.33333333333333
25.05875416666667,37.02777777777777
25.171064999999995,37.138888888888886
26.105954999999998,38.08333333333334
25.347315999999996,38.861111111111114
24.682493749999992,32.770833333333336
25.982409375,32.75
26.371936750000003,32.56250000000001
24.558111000000004,31.71666666666667
24.830942900000004,31.666666666666668
25.712805000000003,32.45
26.338655399999993,32.349999999999994
25.27687575,32.56666666666666
24.981267916666667,31.399999999999995
24.714698416666664,30.8
21.582612857142863,28.416666666666668
21.547280999999998,28.569444444444443
22.5442185,29.263888888888886
22.366473142857142,28.819444444444443
23.799973375,29.083333333333332
23.618615249999998,29.011904761904763
23.546867750000004,28.607142857142858
21.712458277777777,29.0
21.979018944444444,29.041666666666664
22.073728,29.364583333333332
22.30483938888889,29.78125
21.26719395,28.11111111111111
21.511776599999997,28.740740740740744
21.57385985,27.49074074074074
22.87390531818182,27.383333333333333
22.974150590909094,27.09166666666667
24.021105227272734,27.64166666666667
23.95464690909091,27.31666666666667
23.576355999999993,26.272727272727273
23.34503876923077,26.136363636363637
24.082086807692306,26.553030303030308
24.913979821428573,26.575757575757578
24.820271964285713,26.41666666666667
24.685331785714286,26.015151515151512
25.118647107142856,25.78787878787879
24.002597266666665,24.534722222222225
24.246057874999998,25.324786324786324
24.399681843750002,25.07905982905983
23.483004764705882,24.4484126984127
23.678858294117646,23.990079365079367
23.528062029411767,23.81944444444444
23.55253973529412,23.908730158730158
23.086321472222224,23.831481481481482
23.314912210526316,23.876736111111107
23.40915542105263,23.78125
23.56166775,24.236928104575167
23.553343275000003,24.236928104575163
23.7989131,23.993464052287578
24.082405425,24.308823529411764
24.217178595238096,23.88071895424837
24.236336568181812,23.08179012345679
24.485332113636364,23.655864197530864
25.090896326086956,23.55701754385965
25.159814260869567,23.663742690058477
24.828887695652178,23.716374269005854
24.91438276086956,23.681286549707604
25.74324908333333,25.632291666666664
24.96242102,24.579695767195766
24.810272800000003,24.671626984126988
25.202912750000003,24.17676767676768
25.057973134615388,23.978851010101007
25.129246884615387,24.205492424242422
25.323539076923076,24.280934343434343
26.40049338888889,26.495169082125607
25.654551839285716,25.955439814814813
25.461409214285716,25.78414351851852
25.719151206896555,25.669444444444444
25.675129293103446,25.882777777777775
25.844455689655174,25.977777777777778
25.420771362068965,25.455555555555556
25.545332266666666,25.59888888888889
25.646998566666664,25.397222222222222
25.8423195,25.21944444444445
25.248738467741937,25.510470085470082
25.57511677419355,25.69722222222222
25.571240322580646,25.504166666666666
25.528741741935484,25.732478632478635
25.403605031250002,26.339609053497945
24.934584671875,26.080555555555552
25.14561225,26.075514403292186
24.595854545454543,25.925
24.766175484848485,25.72063492063492
24.521970015151517,25.732242063492063
24.481697348484847,25.681349206349207
24.686315882352943,26.140421455938693
24.531298970588235,26.170306513409958
23.908767647058824,25.548850574712645
23.427293657142854,25.36111111111111
23.386140085714285,25.21037037037037
23.11931372857143,24.94425925925926
23.208050314285714,25.36787037037037
23.318451625,25.92786738351254
23.096134916666667,25.635394265232975
