dprio,nn,bench
0,,
1,,
2,,
3,16.336164999999994,24.75
4,15.153130000000004,32.575
5,15.185374999999993,32.98333333333333
6,17.438128333333335,36.95555555555555
7,17.64795375,30.21666666666667
8,17.396466249999996,29.662499999999998
9,17.338409999999996,29.62916666666667
10,16.576085999999997,26.923333333333336
11,17.0608075,23.375
12,16.859972499999998,23.23333333333333
13,17.85948142857143,20.154761904761898
14,19.482341875000003,21.21875
15,19.330653124999998,21.214583333333326
16,19.64402875,21.55416666666666
17,18.55848611111111,21.01296296296296
18,17.9107035,19.948333333333334
19,17.75448,20.141666666666666
20,18.276910909090915,20.051515151515147
21,18.24615308333333,21.241666666666667
22,18.494110208333336,21.923611111111104
23,18.424061666666667,21.524999999999995
24,18.987362884615383,24.051282051282048
25,19.541274999999995,24.65714285714285
26,19.552428535714284,25.18690476190476
27,21.201775466666668,26.185555555555553
28,22.83448975,26.704166666666666
29,22.79513971875,26.465625000000003
30,22.45045375,25.975
31,24.33655426470588,25.045098039215684
32,23.808632352941174,25.648039215686268
33,23.771990588235298,25.77549019607843
34,23.410155722222225,25.243518518518513
35,24.644459842105263,24.554385964912274
36,24.94128455263158,24.919298245614037
37,25.120077631578948,26.22368421052631
38,24.411001900000002,27.32
39,24.582364999999996,27.125
40,24.4156101,26.95333333333333
41,25.116281190476197,25.967460317460315
42,25.98044559090909,26.18015873015873
43,25.80706468181818,26.29365079365079
44,25.670496022727274,26.219047619047622
45,27.035365652173912,26.260317460317463
46,27.19558567391304,25.93730158730159
47,26.8487712826087,26.18888888888889
48,27.340420645833333,26.48852813852814
49,28.439740300000004,26.0593685300207
50,28.3537178,25.86211180124224
51,27.60687152,26.995393374741205
52,28.14142730769231,26.98105158730159
53,28.323083192307692,26.989384920634922
54,28.329904442307686,26.85029761904762
55,28.80026081481482,27.084
56,28.889885678571424,26.860439560439563
57,29.326494767857145,27.306822344322345
58,28.808847714285715,27.22779304029304
59,29.652217310344824,26.318342151675484
60,29.499685431034486,26.372574955908288
61,29.717051793103447,26.664285714285715
62,30.58773785,27.44373897707231
63,30.473201403225808,26.767857142857142
64,30.328840532258063,26.83767006802721
65,30.43027040322581,27.392261904761906
66,30.7874415,27.25139573070608
67,30.702780125000004,27.392775041050903
68,31.144406453125,27.453858784893267
69,30.713509651515153,29.006190476190476
70,32.97123657352942,28.60284178187404
71,32.82641057352941,28.60230414746544
72,32.96616735294118,29.037327188940093
73,33.565357357142865,28.768452380952382
74,33.415668342857145,29.039285714285715
75,34.34189192857143,29.441369047619045
76,34.91013922222222,29.728499278499275
77,35.075671625000005,30.0426406926407
78,34.850144,30.053535353535352
79,35.20084451388888,29.48398268398268
80,35.531888555555554,29.74906204906205
81,35.69816341666667,30.039538239538235
82,35.70935204166667,30.076911976911976
83,35.40494252777778,30.102669552669553
84,35.452223402777776,30.352958152958156
