dprio,nn,bench
0,,
1,,
2,,
3,16.336164999999994,27.722222222222257
4,15.153130000000004,20.252777777777787
5,15.185374999999993,20.3361111111111
6,17.438128333333335,19.035185185185185
7,17.64795375,16.78333333333333
8,17.396466249999996,16.075000000000003
9,17.338409999999996,16.211111111111116
10,16.576085999999997,16.527777777777775
11,17.0608075,15.378703703703712
12,16.859972499999998,15.472222222222227
13,17.85948142857143,14.718253968253967
14,19.482341875000003,18.854861111111106
15,19.330653124999998,18.772916666666667
16,19.64402875,18.96180555555555
17,18.55848611111111,18.677777777777784
18,17.9107035,17.182222222222226
19,17.75448,17.380000000000003
20,18.276910909090915,16.07828282828283
21,18.24615308333333,15.971296296296297
22,18.494110208333336,16.081018518518515
23,18.424061666666667,16.014814814814812
24,18.987362884615383,17.7525641025641
25,19.541274999999995,19.14166666666667
26,19.552428535714284,18.952380952380953
27,21.201775466666668,20.374444444444446
28,22.83448975,22.02845911949686
29,22.79513971875,21.876704992138365
30,22.45045375,21.63987814465409
31,24.33655426470588,23.848853126156126
32,23.808632352941174,23.919111481070416
33,23.771990588235298,24.16232581082748
34,23.410155722222225,25.561507004184843
35,24.644459842105263,27.152751857685853
36,24.94128455263158,27.18588948243521
37,25.120077631578948,27.23044340954316
38,24.411001900000002,30.28507698980698
39,24.582364999999996,30.692593255259162
40,24.4156101,30.76674871683655
41,25.116281190476197,31.512419576375333
42,25.98044559090909,32.196177043696565
43,25.80706468181818,32.32415649665162
44,25.670496022727274,32.38944528236168
45,27.035365652173912,32.286419211777755
46,27.19558567391304,32.50789660201346
47,26.8487712826087,32.28263556900795
48,27.340420645833333,32.4426579932649
49,28.439740300000004,32.521019188069936
50,28.3537178,32.493861072383844
51,27.60687152,33.14572518098543
52,28.14142730769231,32.903952633970526
53,28.323083192307692,33.27162293265904
54,28.329904442307686,33.42238031387755
55,28.80026081481482,33.3670518451965
56,28.889885678571424,32.456790715635634
57,29.326494767857145,32.6380426888821
58,28.808847714285715,33.026499390691
59,29.652217310344824,32.54473449832075
60,29.499685431034486,32.67653245131315
61,29.717051793103447,32.967638872418675
62,30.58773785,33.47099761261978
63,30.473201403225808,33.049171489971755
64,30.328840532258063,32.97343900948326
65,30.43027040322581,32.92521962819946
66,30.7874415,32.07325547403674
67,30.702780125000004,32.16602911590896
68,31.144406453125,32.420456883476064
69,30.713509651515153,33.17750998679399
70,32.97123657352942,32.67119336782642
71,32.82641057352941,32.89081530050951
72,32.96616735294118,32.869158199086634
73,33.565357357142865,32.98552685333513
74,33.415668342857145,33.23404391034228
75,34.34189192857143,33.031460368792935
76,34.91013922222222,32.49270865145017
77,35.075671625000005,32.61788391261949
78,34.850144,32.57718294170845
79,35.20084451388888,32.57530358489091
80,35.531888555555554,32.53990128604033
81,35.69816341666667,32.91966454072412
82,35.70935204166667,32.70613576378285
