Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
26/12/2018;30/01/2019;LG-9416;SCN;TXL;25 PAX;1 307,00 EUR;1 560,0;0 PAX;67 PAX
26/12/2018;31/01/2019;LG-9411;TXL;SCN;45 PAX;3 415,00 EUR;4 112,0;17 PAX;67 PAX
26/12/2018;31/01/2019;LG-9412;SCN;TXL;9 PAX;466,00 EUR;605,0;0 PAX;67 PAX
26/12/2018;31/01/2019;LG-9413;TXL;SCN;11 PAX;1 059,00 EUR;1 259,0;0 PAX;67 PAX
26/12/2018;31/01/2019;LG-9414;SCN;TXL;26 PAX;2 398,00 EUR;3 064,0;0 PAX;67 PAX
26/12/2018;31/01/2019;LG-9415;TXL;SCN;15 PAX;588,00 EUR;705,0;0 PAX;67 PAX
26/12/2018;31/01/2019;LG-9416;SCN;TXL;16 PAX;1 260,00 EUR;1 620,0;0 PAX;67 PAX
27/12/2018;01/01/2019;LG-9413;TXL;SCN;29 PAX;1 701,00 EUR;2 049,0;0 PAX;67 PAX
27/12/2018;01/01/2019;LG-9414;SCN;TXL;24 PAX;1 686,00 EUR;2 013,0;0 PAX;67 PAX
27/12/2018;01/01/2019;LG-9415;TXL;SCN;28 PAX;1 507,00 EUR;1 813,0;0 PAX;67 PAX
27/12/2018;01/01/2019;LG-9416;SCN;TXL;49 PAX;3 783,00 EUR;4 531,0;0 PAX;67 PAX
27/12/2018;02/01/2019;LG-9413;TXL;SCN;30 PAX;1 592,00 EUR;1 948,0;0 PAX;67 PAX
27/12/2018;02/01/2019;LG-9414;SCN;TXL;26 PAX;1 606,00 EUR;1 903,0;0 PAX;67 PAX
27/12/2018;02/01/2019;LG-9415;TXL;SCN;38 PAX;2 443,00 EUR;2 968,0;0 PAX;67 PAX
27/12/2018;02/01/2019;LG-9416;SCN;TXL;44 PAX;2 660,00 EUR;3 188,0;0 PAX;67 PAX
27/12/2018;03/01/2019;LG-9413;TXL;SCN;22 PAX;928,00 EUR;1 131,0;0 PAX;67 PAX
27/12/2018;03/01/2019;LG-9414;SCN;TXL;28 PAX;1 588,00 EUR;1 945,0;0 PAX;67 PAX
27/12/2018;03/01/2019;LG-9415;TXL;SCN;30 PAX;2 286,00 EUR;2 924,0;0 PAX;67 PAX
27/12/2018;03/01/2019;LG-9416;SCN;TXL;20 PAX;1 222,00 EUR;1 497,0;0 PAX;67 PAX
27/12/2018;04/01/2019;LG-9413;TXL;SCN;12 PAX;754,00 EUR;898,0;0 PAX;67 PAX
27/12/2018;04/01/2019;LG-9414;SCN;TXL;18 PAX;931,00 EUR;1 158,0;0 PAX;67 PAX
27/12/2018;04/01/2019;LG-9415;TXL;SCN;26 PAX;1 280,00 EUR;1 547,0;0 PAX;67 PAX
27/12/2018;04/01/2019;LG-9416;SCN;TXL;18 PAX;1 234,00 EUR;1 485,0;0 PAX;67 PAX
27/12/2018;05/01/2019;LG-9411;TXL;SCN;13 PAX;529,00 EUR;625,0;0 PAX;67 PAX
27/12/2018;05/01/2019;LG-9412;SCN;TXL;21 PAX;963,00 EUR;1 155,0;0 PAX;67 PAX
27/12/2018;06/01/2019;LG-9413;TXL;SCN;31 PAX;1 876,00 EUR;2 257,0;1 PAX;67 PAX
27/12/2018;06/01/2019;LG-9414;SCN;TXL;37 PAX;1 971,00 EUR;2 361,0;0 PAX;67 PAX
27/12/2018;06/01/2019;LG-9415;TXL;SCN;27 PAX;1 613,00 EUR;2 027,0;0 PAX;67 PAX
27/12/2018;06/01/2019;LG-9416;SCN;TXL;26 PAX;2 146,00 EUR;2 676,0;0 PAX;67 PAX
27/12/2018;07/01/2019;LG-9411;TXL;SCN;42 PAX;3 336,00 EUR;4 029,0;10 PAX;67 PAX
27/12/2018;07/01/2019;LG-9412;SCN;TXL;24 PAX;1 524,00 EUR;1 820,0;0 PAX;67 PAX
27/12/2018;07/01/2019;LG-9413;TXL;SCN;23 PAX;991,00 EUR;1 221,0;0 PAX;67 PAX
27/12/2018;07/01/2019;LG-9414;SCN;TXL;6 PAX;365,00 EUR;428,0;0 PAX;65 PAX
27/12/2018;07/01/2019;LG-9415;TXL;SCN;22 PAX;1 257,00 EUR;1 490,0;0 PAX;67 PAX
27/12/2018;07/01/2019;LG-9416;SCN;TXL;18 PAX;1 583,00 EUR;1 925,0;0 PAX;65 PAX
27/12/2018;08/01/2019;LG-9411;TXL;SCN;16 PAX;712,00 EUR;874,0;0 PAX;67 PAX
27/12/2018;08/01/2019;LG-9412;SCN;TXL;20 PAX;950,00 EUR;1 160,0;0 PAX;67 PAX
